,1_NRAS,2_DNMT3A,2_SF3B1,2_IDH1,3_GATA2,4_KIT,5_NPM1,6_chr6,7_EZH2,9_JAK2,10_chr10,11_WT1,12_KRAS,12_PTPN11,13_FLT3,14_chr14,15_IDH2,16_chr16,17_TP53,17_SRSF2,18_chr18,20_ASXL1,21_RUNX1,21_U2AF1
81,57,33,101,52,20,52,1,73,62,16,75,106,91,31,159,18,10,73,70,14,37,38,107,73
82,85,23,82,18,9,44,35,59,30,23,42,65,46,33,121,14,36,52,70,4,26,18,23,42
83,77,24,62,43,13,34,39,67,69,19,65,71,59,57,162,13,22,64,97,4,20,37,31,44
84,60,22,126,42,4,18,14,64,37,1,17,34,39,28,142,2,28,18,127,0,15,42,23,71
85,51,15,51,28,3,34,0,26,47,10,46,61,30,31,81,11,0,22,49,2,11,20,33,34
86,54,10,71,20,14,45,0,23,45,7,30,53,48,35,133,10,0,48,31,0,13,18,34,28
87,38,16,125,44,27,26,2,64,55,1,26,69,42,47,105,15,38,16,114,2,9,57,21,95
88,21,24,65,32,2,53,13,58,47,14,38,67,69,27,105,9,4,37,48,7,8,27,20,52
89,52,22,82,42,4,49,24,56,34,0,37,59,74,23,84,11,26,33,78,6,11,28,25,41
90,75,25,68,65,34,0,12,62,37,6,49,54,64,32,178,0,19,37,120,3,19,55,39,55
91,69,22,98,39,4,31,28,62,72,25,23,54,56,6,129,20,31,44,77,3,5,28,18,60
92,30,11,137,57,1,21,3,41,16,1,20,30,22,33,114,17,44,11,87,0,13,34,30,64
93,39,10,36,31,7,28,31,68,47,17,36,44,61,31,73,14,17,45,78,0,8,38,32,29
94,58,12,102,47,14,36,8,62,27,11,42,49,62,33,114,12,37,49,106,0,24,34,50,28
95,37,5,139,59,12,35,2,41,47,14,19,35,32,26,134,11,22,22,72,2,15,36,28,45
96,75,30,100,44,14,48,13,49,63,0,61,81,44,28,182,18,12,40,70,2,8,37,24,6
97,68,27,65,44,8,64,38,63,59,13,46,53,79,37,125,9,18,26,67,0,13,39,32,38
98,53,10,111,52,0,27,7,71,37,3,36,58,11,51,145,18,30,60,111,6,26,16,15,58
99,49,15,93,19,2,35,7,49,30,5,38,32,56,48,141,13,41,16,112,0,10,39,11,67
100,45,18,49,16,10,22,9,40,39,7,25,49,38,20,63,13,22,52,55,4,9,41,23,40
101,41,12,135,27,3,30,5,56,28,5,19,59,30,20,72,8,23,28,142,0,9,35,26,61
102,33,31,25,44,11,41,50,66,64,18,51,59,48,27,123,24,27,57,84,2,10,29,11,51
103,69,20,130,54,9,66,0,55,58,5,44,73,90,34,120,11,36,48,116,6,12,29,18,66
104,62,15,82,50,22,73,28,108,93,19,57,85,83,41,218,18,59,40,85,4,18,47,27,49
105,63,22,91,41,10,36,39,36,36,0,53,38,49,36,148,9,28,53,68,2,17,36,38,48
106,63,14,110,54,20,17,9,47,87,11,22,69,44,11,187,9,32,16,82,4,11,57,28,63
107,22,12,94,47,16,51,12,61,55,9,31,56,66,38,156,13,24,57,81,10,22,35,20,68
108,34,8,52,23,0,18,19,47,38,18,36,25,41,16,118,10,24,49,33,6,8,48,12,25
109,71,27,136,79,14,36,15,75,111,8,42,79,15,42,206,11,57,53,127,0,12,50,23,130
110,55,6,96,61,1,30,1,49,48,1,40,9,34,31,149,8,14,16,115,7,16,45,6,96
111,136,52,256,98,35,98,15,175,96,15,122,149,155,97,480,45,55,69,296,10,41,131,65,160
112,61,17,71,34,3,46,15,34,60,1,24,66,51,17,143,20,28,53,84,2,17,41,35,12
113,19,13,96,21,20,32,3,45,40,1,19,27,35,16,127,12,20,25,64,2,11,37,17,61
114,76,33,76,49,9,69,36,65,44,21,51,41,78,31,125,15,40,76,93,4,26,58,55,58
115,48,21,145,61,9,22,8,59,38,0,63,58,46,55,183,13,30,45,162,4,22,82,24,43
116,48,26,62,51,7,51,36,50,63,4,42,67,69,22,136,9,21,40,50,4,20,38,52,54
117,48,14,50,17,3,24,12,38,37,15,29,39,44,27,79,10,20,28,29,0,8,38,38,39
118,50,12,86,60,18,46,7,42,36,3,57,63,66,31,144,20,51,31,106,0,13,30,37,43
119,34,8,183,43,24,77,21,74,94,0,44,91,66,48,273,21,30,46,197,0,21,81,36,68
120,45,24,55,38,12,38,29,78,66,8,70,78,68,20,159,0,22,52,71,4,21,27,28,46
121,31,17,57,31,0,58,9,39,48,6,26,55,26,26,126,4,11,45,58,4,18,21,39,41
122,76,12,88,44,10,47,21,56,13,10,39,63,52,50,158,9,37,55,81,6,23,14,7,60
123,51,12,86,38,12,44,6,32,28,6,25,46,46,46,126,6,23,33,60,0,8,45,24,53
124,64,5,100,50,10,19,3,53,43,7,27,43,50,22,138,7,39,20,101,0,8,16,21,53
125,53,12,61,23,9,29,22,55,49,6,32,67,37,31,135,8,24,41,77,4,9,32,20,41
126,78,16,137,53,2,57,6,85,30,15,60,51,38,54,218,16,25,41,139,0,15,47,35,72
127,48,17,56,49,13,25,3,53,73,17,46,53,65,52,148,18,22,43,76,0,16,56,53,54
128,116,11,40,58,12,88,19,127,94,11,50,97,110,36,231,25,23,80,98,2,32,65,61,83
129,37,15,59,35,3,37,26,39,42,5,25,39,37,21,81,10,11,31,62,0,11,31,13,26
130,74,1,95,60,12,16,6,38,51,7,53,37,39,38,118,4,24,28,87,0,13,41,33,47
131,57,19,77,38,14,23,21,36,54,4,54,34,21,36,130,1,17,28,29,0,23,31,8,1
132,40,4,55,42,9,29,6,47,26,5,33,31,46,30,85,16,27,20,50,2,13,41,16,53
133,59,3,78,44,10,19,7,38,50,4,33,50,23,35,103,6,32,30,51,0,6,49,19,75
134,25,12,65,30,12,26,4,50,32,6,47,59,56,33,126,12,22,14,51,0,15,27,16,29
135,90,25,53,61,12,38,15,138,29,0,52,86,58,57,192,1,42,27,123,2,31,56,16,87
136,68,23,77,60,12,64,33,54,64,17,24,80,63,26,109,14,31,50,70,4,21,26,15,60
137,70,15,53,37,6,61,41,62,68,2,37,64,59,28,129,23,41,44,71,4,8,32,23,38
138,93,26,112,67,13,33,61,116,83,16,63,128,113,61,225,21,53,68,149,8,37,36,67,70
139,44,17,71,41,1,31,5,52,46,11,39,51,55,37,68,13,32,29,62,4,18,26,42,46
140,33,9,19,39,12,22,3,40,39,1,20,30,16,16,93,3,17,24,52,0,9,35,18,37
141,59,19,111,47,12,44,5,66,49,0,41,53,32,46,181,16,29,24,72,2,19,16,21,19
142,45,23,65,31,9,35,7,42,51,1,28,37,14,26,130,1,42,29,67,0,13,34,1,59
143,54,14,46,19,1,33,38,37,46,4,45,47,33,30,127,10,20,19,49,3,6,23,23,38
144,51,13,122,46,20,18,2,86,58,21,15,59,40,41,210,5,47,12,82,0,15,63,37,100
145,73,24,13,56,0,33,4,62,79,5,24,61,36,34,111,14,29,26,124,2,7,26,38,70
146,71,50,92,45,16,82,0,43,107,14,77,152,76,64,246,39,4,68,184,18,30,82,93,52
147,36,18,79,33,6,60,40,58,54,13,57,61,47,26,107,17,43,41,57,0,11,24,12,55
148,35,15,35,26,9,27,0,33,34,1,33,36,35,16,103,10,20,25,43,0,5,30,17,40
149,39,33,115,56,7,33,25,49,70,15,51,70,66,31,130,10,23,56,125,8,19,37,28,53
150,43,17,105,45,24,33,3,63,32,3,27,42,27,7,129,8,27,25,133,6,13,30,28,61
151,50,13,28,22,0,35,61,32,26,8,37,52,51,29,120,11,15,40,58,0,13,35,13,2
152,44,15,39,40,1,30,0,36,51,0,42,48,23,43,109,8,11,19,66,0,5,34,29,53
153,67,20,141,58,21,57,15,157,102,18,100,139,15,77,277,29,44,46,200,10,44,84,27,111
154,67,15,145,48,0,27,27,87,74,39,53,72,67,34,194,32,21,35,99,8,26,73,86,88
155,46,15,63,19,20,19,15,52,39,1,39,48,43,23,116,0,12,43,76,2,12,35,32,16
156,48,15,60,45,11,36,9,48,34,5,45,55,43,31,128,19,26,27,98,6,16,37,8,54
157,45,4,42,33,3,22,13,46,49,0,12,19,46,20,118,11,22,29,85,0,4,37,23,39
158,86,14,75,57,9,71,9,74,70,0,49,79,67,52,202,12,24,50,98,6,14,41,74,77
159,54,11,65,52,6,22,12,45,2,0,39,33,14,9,124,6,27,17,62,2,5,23,21,23
160,40,7,79,26,6,31,6,60,64,6,42,52,55,14,102,8,21,17,63,0,2,31,20,22
161,39,16,107,62,21,18,2,84,74,13,38,75,33,30,213,18,45,16,199,2,17,70,8,76
162,57,5,39,35,3,25,22,38,58,3,21,53,35,12,89,5,9,31,46,0,4,37,20,40
163,52,17,119,18,21,39,10,58,82,8,12,52,30,21,159,11,21,24,92,0,7,41,46,42
164,76,20,92,53,9,68,12,83,69,14,61,66,51,37,179,13,28,52,92,17,24,51,30,79
165,45,25,80,10,6,41,10,45,59,2,31,79,56,37,145,0,18,30,14,0,14,29,31,51
166,23,6,26,26,3,15,0,42,20,12,35,29,26,26,71,13,21,45,53,0,14,16,11,29
167,41,14,70,27,7,46,0,65,60,8,31,62,34,36,135,19,25,40,64,8,15,37,12,54
168,39,17,51,20,4,34,9,58,44,0,14,35,21,33,101,15,26,23,75,2,5,22,8,28
169,58,43,89,39,26,57,72,92,71,34,47,121,101,43,188,19,48,84,81,14,15,49,41,65
170,50,19,27,46,2,49,4,46,28,3,31,54,19,30,123,3,33,33,59,0,8,19,27,63
171,80,12,133,117,52,97,7,69,89,1,66,122,62,60,231,22,35,45,131,0,28,49,52,119
172,58,16,82,71,28,52,10,75,78,14,38,56,52,36,203,12,29,51,110,2,11,41,44,55
173,66,43,115,54,18,58,22,66,69,36,61,80,76,20,135,4,30,52,102,10,22,62,19,35
174,76,20,84,54,15,40,3,68,61,0,50,75,41,58,184,11,26,28,103,8,11,63,26,72
175,39,21,33,22,10,47,4,49,47,0,27,40,55,31,120,10,23,40,55,2,13,28,18,44
176,63,24,105,40,1,65,24,54,73,9,41,64,91,43,169,26,36,61,70,10,24,53,21,48
177,63,28,110,61,13,55,39,123,84,10,43,89,91,59,228,17,21,56,113,0,21,60,78,78
178,48,14,108,42,5,64,26,52,41,21,52,93,81,43,165,16,44,47,128,2,17,46,44,62
179,49,13,79,40,13,46,12,46,36,0,42,38,52,33,141,2,30,26,63,0,14,29,26,59
180,34,5,94,32,7,32,12,31,39,0,24,30,41,25,96,5,17,22,95,0,15,22,20,33
181,46,19,74,23,1,35,9,50,46,16,27,50,48,25,121,8,31,35,46,0,12,25,19,51
182,100,10,163,100,9,46,2,75,50,1,59,41,50,51,271,22,68,23,182,0,21,44,24,86
183,42,18,96,27,10,77,25,54,53,13,79,67,78,36,117,18,31,53,110,11,14,24,61,53
184,62,19,89,41,7,42,24,69,60,4,46,61,38,39,196,12,14,29,71,2,16,34,53,73
185,62,4,73,48,17,37,5,63,29,2,38,44,39,21,91,10,2,31,66,4,13,38,22,25
186,50,19,67,34,5,55,37,50,44,13,36,64,30,36,89,11,23,47,88,2,19,40,28,41
187,63,12,72,30,3,23,16,48,36,4,47,83,50,20,53,22,19,62,14,4,20,0,16,49
188,40,24,75,41,6,58,48,53,53,17,60,63,39,48,144,15,43,50,64,6,22,40,48,22
189,71,7,98,62,6,40,23,101,52,6,29,46,50,54,118,20,31,14,140,0,12,42,42,84
190,61,10,97,36,10,40,1,67,58,1,20,45,38,30,171,21,12,26,99,8,14,27,17,27
191,73,25,115,56,30,51,16,48,81,8,48,83,68,56,161,21,29,33,108,4,22,42,39,63
192,50,12,136,56,20,46,6,66,59,0,58,60,77,60,221,5,50,33,132,2,25,63,114,114
193,84,27,92,39,8,32,32,98,84,23,75,48,56,30,142,7,32,74,48,2,8,37,22,74
194,26,19,85,17,20,45,22,64,37,5,23,12,38,14,87,16,28,35,70,4,11,11,11,29
195,41,21,60,26,13,28,26,63,32,8,42,53,39,26,59,15,21,51,60,3,20,17,15,33
196,55,24,140,63,15,104,38,102,60,38,78,96,77,57,249,1,20,77,119,10,29,65,52,63
197,65,18,69,37,14,47,18,53,53,1,29,49,64,34,131,0,41,30,78,2,25,26,31,46
198,59,18,80,34,22,25,11,63,41,11,43,26,36,32,124,5,29,49,67,4,20,10,22,48
199,52,24,48,34,0,66,1,70,32,0,21,52,55,42,71,5,36,15,86,2,22,47,15,72
200,82,21,123,74,8,72,14,126,68,8,64,97,93,53,242,29,55,45,168,2,26,38,46,114
201,60,1,42,39,12,65,53,67,66,7,45,85,55,22,81,12,41,43,56,8,19,24,20,19
202,86,24,107,41,20,66,7,99,75,22,64,73,64,51,153,14,21,96,96,0,24,50,46,81
203,76,20,92,44,10,84,40,69,80,7,80,53,99,65,223,12,24,62,47,0,33,32,63,101
204,53,19,69,36,16,44,4,49,1,5,42,72,44,44,106,16,30,31,40,8,23,21,26,49
205,76,11,122,44,3,65,10,72,66,3,41,42,69,46,162,19,26,32,104,8,14,40,31,53
206,52,17,122,49,17,91,58,64,81,20,92,100,106,41,130,27,21,48,72,4,19,41,54,48
207,41,13,15,27,14,32,36,19,26,0,40,65,66,29,110,15,21,40,80,0,19,33,10,20
208,39,16,62,28,12,68,61,81,68,13,54,87,62,26,117,13,16,72,72,2,20,34,40,44
209,59,18,76,48,13,51,27,75,48,5,35,64,69,38,201,10,32,25,94,2,12,24,31,41
210,91,40,175,70,30,76,38,145,116,5,92,97,106,67,242,27,54,78,207,8,33,72,101,85
211,46,8,59,31,1,65,5,42,36,0,27,44,45,25,126,16,13,27,62,0,9,32,31,58
212,78,13,107,40,10,67,14,73,66,10,55,69,34,42,188,12,47,51,87,4,29,51,15,62
213,59,34,117,40,0,87,24,59,58,17,66,75,63,35,172,25,31,88,96,4,24,43,48,48
214,53,10,120,56,16,67,7,72,45,1,20,51,22,18,169,8,24,19,150,0,7,37,12,97
215,54,11,64,31,14,54,32,61,58,6,54,48,66,25,106,13,17,57,69,8,9,23,46,43
216,43,17,49,47,9,42,15,58,51,11,33,63,40,36,134,14,24,52,78,2,12,36,41,53
217,92,13,106,61,20,60,17,86,89,28,57,79,61,62,230,28,35,72,91,6,24,38,30,88
218,53,10,180,53,6,15,8,77,58,10,26,36,50,34,173,10,27,19,148,4,9,44,27,61
219,61,10,114,47,3,63,9,61,24,5,33,42,41,30,133,13,18,35,107,2,3,5,11,65
220,113,50,93,55,28,1,9,80,79,19,71,88,97,46,217,30,28,84,104,9,34,49,97,58
221,43,25,83,35,17,41,14,87,54,1,52,56,54,29,151,8,7,48,69,6,23,33,38,54
222,81,41,91,44,0,45,42,54,107,22,68,104,60,37,175,16,27,67,74,6,15,34,54,35
223,31,17,127,59,17,40,5,55,79,3,25,42,46,31,154,12,29,91,152,2,7,52,46,67
224,50,12,41,24,12,38,12,33,49,0,18,40,43,25,103,12,24,64,62,0,7,25,12,19
225,62,22,107,40,14,53,3,51,52,16,42,52,48,35,189,14,25,62,43,7,16,18,9,54
226,51,24,99,57,17,49,10,65,65,13,27,67,54,53,159,16,34,93,95,8,15,42,30,70
227,90,48,120,63,41,92,44,122,134,32,68,104,99,69,240,27,35,132,154,24,29,89,49,95
228,57,5,33,43,4,64,40,56,48,0,38,84,93,14,99,6,44,48,67,0,13,40,17,71
229,51,17,61,32,7,56,10,52,52,14,58,69,44,35,124,12,25,26,67,2,19,30,29,32
230,50,6,61,39,8,36,22,57,53,13,27,61,47,18,154,17,14,65,60,0,20,34,35,51
231,25,11,86,30,6,55,20,57,50,6,40,35,49,44,109,12,27,42,79,2,21,44,48,19
232,30,16,55,45,18,38,6,31,8,2,38,36,22,33,112,17,19,30,61,2,9,30,11,39
233,35,8,65,52,14,81,41,64,50,4,51,79,69,36,157,16,37,57,64,8,9,20,42,63
234,56,25,80,41,7,36,0,50,39,0,42,47,39,31,132,10,25,54,80,2,4,31,21,62
235,75,21,125,35,0,52,9,60,22,6,54,53,34,44,71,25,16,70,83,2,13,47,16,45
236,54,18,90,41,18,29,0,50,48,21,18,57,42,23,136,8,37,56,81,0,5,30,16,51
237,69,27,152,39,23,35,0,50,81,4,49,69,79,46,194,15,50,47,131,2,27,61,29,69
238,80,22,108,12,4,63,30,56,64,9,71,91,71,34,144,15,36,72,111,12,25,53,45,41
239,114,13,91,79,24,97,18,112,65,12,73,85,82,54,267,36,49,35,171,4,27,87,106,113
240,60,29,87,41,3,49,30,47,60,14,61,49,44,32,150,9,10,31,115,10,20,57,40,65
241,59,26,146,18,14,55,2,78,48,2,50,63,48,26,194,13,45,41,166,2,27,21,38,80
242,61,19,123,32,9,19,12,43,68,9,33,41,42,11,159,13,32,27,83,0,7,39,12,63
243,66,20,98,39,6,79,33,95,66,16,50,87,86,37,145,1,27,68,88,10,13,45,30,71
244,76,27,163,104,38,70,14,164,65,4,56,101,79,64,294,23,47,33,218,4,29,98,84,104
245,45,16,77,32,21,48,22,49,46,17,66,59,73,36,125,9,18,51,51,8,13,28,8,39
246,74,15,78,43,14,48,7,61,74,9,49,56,63,38,204,21,31,27,86,0,2,55,19,60
247,25,15,27,28,3,36,8,41,47,16,35,28,45,13,121,15,19,52,57,6,11,27,34,40
248,53,22,69,35,0,46,9,63,40,3,49,65,55,7,145,11,8,48,80,4,18,57,33,45
249,76,25,91,36,26,64,18,79,84,18,51,72,96,29,171,8,17,92,86,8,35,53,56,49
250,55,6,45,26,4,47,7,42,37,17,33,58,48,22,104,11,10,35,36,0,13,23,31,33
251,47,25,80,38,20,50,35,56,35,13,45,56,76,41,165,16,25,55,92,4,18,42,28,47
252,35,18,29,23,0,38,7,30,34,9,28,41,28,35,88,8,17,33,55,6,12,25,24,38
253,93,19,137,83,21,69,5,107,73,7,77,82,77,70,229,31,46,25,147,2,24,56,36,98
254,78,5,86,51,3,65,31,90,89,24,113,111,96,53,198,23,44,86,116,21,17,42,42,68
255,71,15,168,41,12,53,3,47,94,7,27,61,56,30,225,11,40,27,157,0,10,58,48,95
256,76,31,98,36,11,60,25,54,49,17,30,58,80,43,195,18,44,42,141,4,26,42,26,59
257,62,3,98,53,10,27,2,94,64,3,26,48,38,17,108,6,26,14,146,0,1,54,23,59
258,35,10,46,20,3,43,4,54,26,3,35,44,54,49,131,13,29,28,94,14,11,40,20,48
259,47,15,52,35,15,36,26,48,39,16,38,55,47,14,86,11,18,36,56,0,11,30,34,31
260,50,12,77,33,12,49,16,40,58,15,28,67,64,39,124,11,23,49,71,2,19,31,39,45
261,48,8,70,28,5,32,14,42,50,8,14,38,40,8,136,9,5,11,78,0,11,37,16,58
262,43,13,22,24,21,40,11,57,40,4,28,48,52,16,116,15,24,19,59,0,10,30,21,45
263,41,13,29,14,0,21,2,49,48,18,18,43,15,26,102,11,26,16,57,0,5,25,36,34
264,39,4,51,40,16,45,3,57,38,2,32,15,18,25,139,5,27,19,88,0,7,25,32,71
265,58,15,56,28,19,22,7,39,47,4,32,43,51,23,93,11,14,28,39,0,10,21,44,54
266,44,15,48,29,13,28,25,45,45,4,37,78,41,32,129,18,18,23,55,0,12,12,23,31
267,49,11,31,41,4,27,10,55,37,11,35,50,50,29,77,15,16,21,54,4,7,2,13,44
268,83,18,87,58,6,58,10,75,95,36,51,91,85,49,160,23,63,45,83,0,15,74,22,73
269,58,25,107,34,16,56,35,60,64,8,54,68,64,39,172,25,40,50,96,6,11,57,51,77
270,50,19,57,33,3,47,25,35,35,0,34,44,61,16,89,11,21,51,42,2,10,18,32,33
271,72,14,110,22,12,46,33,72,32,15,39,67,57,16,141,11,30,44,86,0,11,46,8,57
272,63,11,149,81,6,48,22,77,53,4,35,85,56,68,232,14,43,34,125,2,14,21,49,97
