,1_CSF3R,1_MPL,1_NRAS,2_DNMT3A,2_SF3B1,2_IDH1,3_MYD88,3_GATA2,4_KIT,4_TET2,5_NPM1,7_BRAF,7_EZH2,8_RAD21,8_MYC,9_JAK2,10_PTEN,10_SMC3,11_WT1,11_ATM,11_KMT2A,11_CBL,12_ETV6,12_KRAS,12_PTPN11,13_FLT3,15_IDH2,17_TP53,17_NF1,17_STAT3,17_PPM1D,18_SETBP1,19_CALR,20_ASXL1,20_GNAS,21_RUNX1,21_ERG,21_U2AF1,22_CHEK2,X_ZRSR2,X_BCOR,X_KDM6A,X_SMC1A,X_STAG2,X_PHF6
29,1173,6,235,2352,1029,98,481,153,1201,4765,153,2488,4866,1067,797,233,537,464,715,362,2928,419,1367,729,636,1601,248,1695,5189,48,416,1121,117,948,190,1622,586,540,360,1177,2215,2041,441,1500,153
30,538,70,314,3706,971,125,135,268,1637,3697,151,2641,4053,950,384,131,169,637,343,857,2696,244,1037,445,544,1109,54,843,3260,27,201,750,112,630,84,788,357,190,191,937,1740,1580,578,1202,1146
31,963,189,95,2266,186,123,418,61,1007,4347,103,2602,4569,629,759,215,553,494,462,195,2621,375,1537,930,569,1261,146,1580,5885,80,178,1050,0,1408,63,913,511,919,57,1189,1948,1981,401,1693,1040
32,299,6,119,1054,565,5,126,7,845,2584,84,1463,2304,250,442,49,197,436,232,448,1296,121,400,211,161,498,0,833,2418,24,226,232,14,669,72,403,210,534,58,684,971,1044,8,653,768
33,407,25,60,2587,829,171,63,230,670,2769,175,1892,2050,787,608,40,314,369,379,579,1229,196,750,439,658,728,39,1410,3579,11,149,701,58,745,212,771,264,229,97,717,1410,1176,415,1188,1159
34,360,33,121,1513,425,104,218,16,640,2579,137,972,2399,447,368,30,169,79,138,291,2118,120,404,277,219,641,29,238,2003,23,298,643,2,734,60,283,291,572,169,81,952,604,246,555,572
35,1487,1,392,5508,1430,353,806,295,2791,9203,267,4711,7925,1443,1246,432,657,1521,1078,768,6748,936,2488,1296,1619,2537,314,3140,9355,195,891,1800,124,2301,221,1683,1111,1038,545,2277,4082,3514,833,2622,1989
36,148,51,24,1008,379,28,93,63,522,1465,17,425,665,255,175,14,109,181,112,141,640,71,62,88,164,317,29,552,1468,7,123,313,44,291,43,175,117,244,25,271,482,479,128,414,468
37,231,19,96,1348,596,43,232,140,872,2813,197,688,1169,512,371,37,321,179,267,289,1595,171,326,331,298,534,40,871,2654,6,243,552,0,564,65,381,207,257,63,478,797,460,224,612,514
38,4506,153,1147,18194,3933,789,1864,938,6198,19391,1042,8588,16907,3069,3085,924,1610,3315,2862,1615,13287,1485,4049,2736,3196,3848,1181,8200,19582,395,1580,4242,332,5458,880,5156,2073,2737,1199,5330,10838,7317,1652,5046,7288
39,274,0,208,2157,520,66,71,55,806,2722,102,1439,2899,501,513,49,391,420,622,227,1970,124,697,301,118,718,107,399,2951,28,62,604,83,535,123,507,356,381,103,0,875,1503,29,820,722
40,616,107,288,1190,1203,31,468,102,988,3471,55,1,0,576,702,264,113,101,680,382,2395,401,401,263,685,743,70,1192,4047,9,256,594,36,1031,325,813,338,318,240,874,1709,1778,442,1070,1006
41,272,143,126,1843,306,78,157,84,444,2866,123,1526,2088,506,241,51,97,277,278,306,1475,11,528,420,231,411,38,1000,2766,20,297,425,321,528,109,328,183,411,134,108,1101,927,310,847,1143
42,236,57,42,632,456,17,66,58,384,1699,42,236,719,318,319,42,2,260,356,252,1048,262,213,180,176,402,19,1126,2060,16,95,471,8,396,25,238,141,444,15,301,86,721,83,547,528
43,228,15,103,2707,732,72,132,86,830,2589,301,462,1414,153,217,39,202,306,110,376,1030,4,492,78,253,396,48,644,2231,13,29,499,130,571,140,226,192,499,50,544,950,671,133,628,698
44,306,0,85,279,491,36,284,95,920,1759,67,717,1233,586,185,170,203,399,255,330,1382,356,248,238,433,654,44,824,2898,30,254,614,92,801,38,410,262,519,83,556,1025,893,272,688,934
45,452,21,138,1952,632,107,284,52,1049,3104,181,1583,2478,594,488,110,95,272,492,371,2243,124,530,462,485,920,119,1067,2464,74,234,576,10,641,90,361,206,89,93,645,471,387,197,672,837
46,358,10,179,1948,698,86,199,9,922,2877,49,1709,2828,762,390,78,110,224,405,452,1210,226,470,203,338,703,66,733,2856,27,268,553,212,911,63,352,217,313,26,754,1109,1097,284,775,385
47,305,11,75,1310,347,102,126,118,751,1851,33,1019,2105,355,219,37,158,172,222,168,1345,106,383,321,298,402,49,674,1965,47,224,402,64,623,61,475,116,274,105,336,689,863,128,488,455
48,324,28,255,836,429,44,311,163,751,2456,58,616,981,403,186,37,85,317,236,264,1692,138,113,177,358,581,69,951,2435,1,200,530,50,747,61,270,145,376,25,154,766,537,244,488,131
49,344,9,143,1790,269,64,164,60,411,1949,136,983,1724,104,474,60,120,318,175,221,636,120,262,175,302,374,24,832,1466,13,95,349,28,614,85,291,156,165,50,670,828,890,0,615,617
50,150,84,94,1485,334,27,60,80,530,1851,74,850,1761,457,388,40,123,175,371,307,1596,131,381,97,113,390,31,694,1013,8,118,528,106,370,82,140,160,222,83,468,769,629,201,730,592
51,215,0,118,994,225,30,85,2,257,1282,70,477,1694,309,205,9,53,163,36,222,655,173,265,243,238,316,27,563,1610,13,173,377,92,366,2,145,145,187,59,256,580,539,82,522,590
52,705,169,232,2940,873,260,235,0,1848,5774,123,2061,3196,1443,986,118,296,921,1185,521,2695,664,1361,821,417,1300,129,2622,6129,57,263,1038,186,1808,153,667,627,1176,159,1409,2274,2113,398,1820,1763
53,269,0,78,500,252,55,43,43,358,1229,67,866,1241,369,165,61,42,266,155,99,781,65,228,144,230,336,37,343,1113,11,105,202,68,311,23,295,83,198,29,275,415,518,124,348,331
54,1407,181,582,5794,1515,272,530,490,2738,7737,625,2518,4982,1504,1148,341,739,1472,1186,915,5178,694,1185,1486,1156,1834,162,2839,8956,130,331,1676,48,2630,307,1825,743,1217,385,1714,3568,3507,892,2988,2005
55,246,47,70,579,409,58,99,15,493,1458,218,833,1505,261,119,12,143,289,127,168,906,126,277,96,244,358,35,566,1164,5,94,359,14,228,35,211,86,176,35,263,477,595,155,451,426
56,125,6,64,1387,458,20,83,50,678,2168,118,425,908,216,317,31,150,211,131,284,1420,113,189,280,166,360,40,786,1860,14,111,456,42,581,79,196,192,231,64,461,676,1097,162,724,552
57,379,6,225,1878,718,111,60,301,1071,2996,130,1863,2984,272,425,126,221,418,443,323,2431,217,687,294,404,728,31,962,3557,22,314,570,163,391,61,415,370,654,167,744,946,1331,294,863,855
58,815,84,573,4155,671,116,537,489,1957,5495,213,2214,3852,1344,1199,222,640,1094,547,488,3732,334,996,509,883,1306,262,2390,6207,24,465,1802,184,1641,241,863,522,882,290,1589,2304,1955,714,1847,1385
59,368,39,154,2221,862,110,166,215,1036,3747,371,730,1574,666,511,76,195,532,370,626,2161,269,320,143,455,823,28,981,3406,13,208,641,4,900,54,415,356,417,101,656,1035,1692,326,1158,1109
60,540,0,80,1687,270,124,199,179,692,2106,71,1365,1920,334,476,6,135,276,252,325,602,171,477,419,362,579,216,702,2350,48,125,498,66,622,36,178,145,104,223,559,1072,846,137,490,530
61,691,73,157,2546,815,307,68,131,1019,2910,278,2223,3845,633,367,124,337,544,501,538,2489,448,837,713,288,1091,138,1307,4407,52,272,705,91,560,241,553,451,687,157,693,1301,92,215,1399,467
62,362,26,146,2037,593,88,38,69,791,2010,189,927,3079,675,615,39,221,332,391,336,2005,215,494,224,312,409,36,924,2434,13,115,672,144,649,133,320,335,209,71,361,928,647,179,712,224
63,351,5,97,1326,500,65,23,95,728,2240,153,1109,1575,292,290,44,143,266,114,199,865,194,274,202,227,341,26,644,1983,8,238,486,93,617,50,315,156,288,16,391,771,624,72,684,489
64,336,21,171,2692,752,20,294,247,1333,3721,164,1085,3205,844,2,77,254,410,656,293,1947,308,852,559,395,817,35,1195,3619,10,288,893,72,1097,126,706,387,895,90,867,1537,1260,327,1102,1043
65,893,197,348,4150,1175,166,531,333,1765,5025,400,1606,2244,688,1057,146,188,799,931,568,3614,381,447,448,623,1400,200,1652,4661,59,349,752,124,1747,179,850,498,756,142,1298,1798,2433,786,1585,1964
66,295,0,66,1522,123,113,109,56,875,2722,85,865,1983,610,600,6,128,229,217,395,1599,256,401,346,133,604,79,810,2082,15,126,712,126,678,46,329,221,476,62,421,798,219,294,990,941
67,95,61,142,1645,395,99,114,108,521,2743,0,1086,2629,591,441,46,168,290,184,175,1700,285,284,107,223,257,38,879,2276,5,135,515,10,686,134,8,252,450,134,387,804,634,143,844,342
68,377,106,91,1896,421,44,153,27,694,1848,213,867,1762,440,236,47,81,214,417,201,1488,174,432,273,586,488,29,527,2015,0,112,445,0,565,78,697,189,307,164,747,1353,739,180,650,593
69,234,8,8,1040,347,91,124,66,540,1494,63,684,1540,386,265,23,102,208,143,236,977,220,271,121,302,452,74,589,1294,3,181,302,122,365,51,267,106,177,39,451,467,318,185,550,523
70,271,12,68,1001,0,47,37,31,515,1609,90,726,969,243,229,17,45,97,239,134,1037,111,226,30,213,345,24,577,1679,8,196,303,89,407,19,121,156,200,88,317,538,389,93,38,349
71,228,11,214,1767,287,32,113,77,84,2132,93,757,2048,337,456,64,296,254,229,224,1070,191,364,131,257,511,27,929,2302,0,152,429,30,488,139,220,104,244,85,521,639,677,122,246,513
72,209,0,74,1263,418,33,112,58,491,1747,143,509,1038,312,338,73,88,199,310,186,1159,118,176,281,174,455,62,700,1693,30,220,433,40,494,88,216,191,359,45,281,779,103,196,471,523
73,652,157,184,2113,829,219,175,231,1894,4699,270,1952,4644,877,588,112,289,565,772,443,3242,385,1164,307,670,452,186,881,3988,36,372,709,2,1532,155,1051,613,409,109,1338,1322,2221,244,129,1207
74,1042,69,384,3078,887,158,411,241,1821,5109,130,1162,3076,1081,555,195,539,903,967,358,3309,573,679,1051,518,1349,156,1849,5391,75,286,1349,52,1322,286,809,416,252,292,1087,1980,1952,446,1590,1452
75,571,92,191,2134,669,32,345,68,684,2518,66,1273,3474,473,678,102,343,361,518,386,2571,293,1468,265,533,1200,153,1337,3410,39,307,707,22,1128,52,928,319,530,193,1023,759,1369,122,1103,986
76,264,43,69,1332,215,78,196,55,623,1709,7,976,1112,238,248,0,188,277,133,196,1243,184,630,0,347,479,65,496,1451,9,157,232,32,541,6,151,165,88,0,327,669,745,231,844,526
77,221,0,231,2459,309,130,405,102,697,3151,0,1480,2756,795,239,116,221,245,382,327,2135,286,856,288,640,671,201,1044,2623,17,305,467,60,995,89,401,267,600,101,624,1404,1372,113,1257,891
78,472,45,155,1962,623,42,318,51,975,1928,119,1186,2419,403,201,84,166,242,366,303,1305,153,631,163,383,669,74,973,3075,22,172,520,51,689,28,325,177,449,164,470,933,919,180,544,705
79,247,39,56,994,284,66,5,140,191,931,28,389,818,276,232,21,39,72,147,78,535,57,188,248,135,212,24,367,1598,30,168,221,56,367,22,104,105,233,15,292,541,337,87,34,348
80,578,0,262,3144,887,33,355,121,1866,3607,305,1712,4058,976,455,97,193,315,285,666,2820,478,1122,288,552,781,89,1285,4883,40,325,777,94,1385,212,766,301,620,152,892,1977,1192,159,1042,1324
81,756,99,471,3655,544,396,489,86,1299,4930,5,2001,4524,1217,768,161,244,780,597,535,3300,484,1156,734,908,1069,186,1855,2486,148,221,526,88,1259,0,833,525,652,103,1048,2243,1662,246,1546,1385
82,389,49,141,1526,663,113,262,223,1019,3514,30,1404,2717,525,406,70,396,277,474,497,2191,444,554,268,391,800,153,1412,2584,27,315,254,153,1127,116,834,314,254,34,1129,1288,1254,458,116,1134
83,507,13,68,2726,513,64,112,96,1089,2694,48,1554,3362,457,511,24,177,267,373,561,1865,178,552,393,444,729,3,1124,3523,44,329,657,56,483,117,439,193,706,110,106,1073,1289,263,908,151
84,661,0,225,362,571,146,175,85,1440,3884,73,1128,4145,304,466,73,454,556,333,555,2345,333,1109,194,527,572,0,1411,4433,59,230,882,249,538,50,731,288,432,101,1206,1565,686,211,310,1252
85,629,0,261,2875,675,171,295,124,1474,4083,310,1734,3638,229,464,57,173,572,471,425,2308,564,774,649,710,842,162,1083,3002,18,275,541,116,960,0,501,408,445,202,849,1151,1355,359,1117,1127
86,1923,123,692,7409,1741,418,1058,659,3440,8657,370,4840,8457,2516,1403,371,1025,1529,1669,1170,6414,729,2652,1361,1306,2542,541,3638,11696,195,673,2267,334,2972,398,2106,779,1175,397,1708,3176,3891,1019,2952,2452
87,475,0,333,3292,496,88,683,151,1414,2355,27,2195,4366,490,515,303,311,628,1046,497,2577,391,1491,574,649,981,175,1417,3237,17,438,748,48,1214,2,1019,390,269,196,80,1913,1452,675,563,971
88,2157,112,548,7415,1663,189,1173,368,3050,11072,139,5832,9842,2102,1223,421,812,2051,1055,1213,6863,1248,3138,1646,1498,3160,305,4871,9501,105,974,2042,235,3411,335,2280,902,1575,884,3298,3461,3332,576,3689,2255
89,599,50,546,2538,754,74,339,122,1450,4185,193,1247,2142,1094,754,92,450,673,644,358,2515,216,424,126,737,672,169,1557,3899,42,463,559,14,1381,389,814,459,684,276,882,1962,1807,221,19,1166
90,330,33,189,1287,319,103,304,164,1079,2735,120,893,1285,734,335,34,162,296,182,443,1768,247,247,52,601,588,104,673,2776,40,150,553,0,851,63,563,296,579,123,11,1016,1380,2,656,904
91,634,56,346,2856,665,42,157,266,1560,4414,54,1373,2894,743,618,77,343,608,411,514,2581,250,563,335,336,722,119,1075,4188,15,302,833,152,1247,57,640,336,568,177,1062,1285,1408,486,1336,1143
92,318,0,214,1984,508,48,66,37,894,2682,143,887,70,449,301,27,150,271,303,275,1962,204,265,93,348,420,66,965,2520,4,68,427,28,728,87,280,222,332,18,826,994,977,251,540,879
93,745,26,421,3371,684,171,407,88,1524,4218,44,2462,4953,989,704,339,494,712,755,487,2599,301,1243,377,439,987,180,1799,5777,6,352,798,315,1766,338,1106,413,208,232,1152,2365,1931,435,233,121
94,1458,157,415,8196,1901,292,1007,186,2949,10419,43,4935,8165,2313,1179,600,692,910,1474,975,5282,1272,2717,923,1058,2255,420,3065,10969,180,1004,2213,165,3218,427,1591,1045,695,161,1540,4214,4044,801,1917,2827
95,453,0,286,981,523,27,339,172,1098,3297,79,1741,2222,756,246,220,261,359,484,547,2226,480,1058,378,447,1039,148,1172,2807,85,356,600,86,1087,158,534,386,266,299,846,1728,1143,181,1135,1156
96,1504,0,395,6029,1553,459,625,305,1860,6659,410,3730,8152,1117,525,239,252,1690,1258,260,3618,382,1377,1168,1591,1883,269,2523,9308,167,573,1607,258,1732,433,771,632,949,533,1722,3357,2892,611,2656,2168
97,335,6,73,1423,583,100,125,163,584,2511,22,505,1230,495,351,75,69,385,363,202,1593,83,315,464,315,409,116,691,2063,17,226,343,74,560,144,446,211,372,113,84,936,974,324,611,743
98,528,15,230,2799,784,116,32,55,1167,3718,228,1980,3735,660,361,124,223,521,490,542,2585,336,1095,244,453,811,67,1417,3240,27,246,794,87,1047,51,717,309,424,20,5,1512,1825,552,1168,1026
99,312,31,138,1707,582,70,183,51,1119,2847,219,1172,2490,388,396,58,216,346,338,318,1330,285,645,212,424,521,52,1229,2804,11,144,674,134,810,185,341,225,387,125,243,1055,1055,241,1037,828
100,674,1,216,4797,1049,231,97,86,2136,5268,170,3259,1777,1212,650,149,218,1125,664,619,3360,469,1486,152,752,1055,24,1209,5137,20,443,1124,77,1548,352,520,310,975,63,1702,2297,1023,425,1120,1753
101,524,0,169,2297,362,52,243,77,723,2694,59,1888,851,720,531,116,70,518,480,273,2126,389,410,458,331,493,171,1180,2866,40,292,458,6,1235,0,754,91,0,122,588,759,1280,412,782,928
102,1604,153,221,5961,1031,378,450,177,2473,8238,98,2836,6520,1504,1027,180,485,1228,1009,774,4233,1076,1283,941,1534,1747,198,1653,7850,141,498,1951,228,1197,387,1886,721,610,298,1196,3644,2749,754,1447,1476
103,446,0,314,2688,501,97,232,266,1637,3351,24,1644,3583,764,519,87,184,449,340,416,2023,352,1231,560,189,1035,55,900,4148,15,214,394,46,1202,47,565,176,438,40,702,1727,1844,34,1271,325
104,532,6,63,2235,655,263,191,265,1104,3456,173,1413,3676,531,689,124,162,644,576,250,1205,185,459,230,434,834,162,1021,2630,57,229,385,36,923,202,178,318,269,67,768,1312,662,412,600,714
105,748,20,339,3418,697,137,229,37,1109,5004,104,1859,4401,847,643,143,490,910,597,397,2059,386,1163,394,537,451,83,1685,2941,25,533,647,184,1510,16,619,604,434,276,1127,1720,1029,254,594,984
106,584,0,419,2069,528,59,366,301,1508,4156,121,1061,314,940,560,61,310,506,229,514,2763,306,323,113,614,1020,7,1075,4326,19,208,617,22,1232,95,671,478,953,184,119,1837,1955,238,958,1235
107,572,207,184,2859,824,240,316,128,1209,4386,64,2359,3858,957,517,16,82,538,294,506,2286,448,603,391,465,661,49,1420,4650,47,399,867,28,1177,94,818,484,820,177,1106,1871,1186,498,1284,1012
108,1094,151,394,4279,803,202,467,204,1691,5350,128,3077,3660,1007,797,281,271,641,889,649,3857,319,1021,598,632,1263,290,1778,5465,70,492,1202,161,1028,123,1623,308,592,217,1084,2838,1766,411,1590,1413
109,215,352,175,2419,578,79,280,140,1192,3527,29,2127,3246,216,656,83,404,269,272,408,2178,239,579,243,436,755,36,737,2536,18,80,555,38,1374,1,991,319,700,35,137,849,1577,305,528,794
110,387,144,267,3010,473,89,18,184,1366,3472,30,1387,2970,731,583,104,236,530,234,560,2357,401,581,140,587,1011,83,1340,3161,37,380,644,59,640,210,666,390,154,194,1181,1421,1608,274,841,672
111,462,0,270,3268,906,14,301,3,1559,4460,247,1918,3549,1097,757,44,76,729,516,253,2169,338,513,571,481,706,88,1061,4053,36,82,832,12,761,1,624,401,777,159,954,1290,449,338,1248,1123
112,413,165,159,2501,752,85,284,172,946,3486,0,1219,3676,280,177,156,254,521,582,507,2163,200,839,279,550,763,194,921,3716,3,242,939,88,1095,15,545,286,608,168,1219,1470,1586,454,1279,1039
113,504,39,146,2719,787,145,182,243,1269,4196,31,1941,3392,698,663,0,221,820,313,490,2629,350,810,676,350,798,109,620,3504,12,352,792,18,808,198,455,195,423,112,706,235,993,419,1290,1002
114,693,15,202,2644,838,55,323,0,795,4159,354,2423,2581,857,567,166,324,262,506,442,1350,335,624,342,685,574,28,1225,2497,18,200,961,118,1414,238,511,412,748,143,957,211,1348,416,1172,1013
115,1116,35,379,4526,1093,223,625,216,1991,6424,169,3421,6549,1280,1078,224,377,855,871,786,3183,345,1385,720,761,1634,268,2559,6494,77,607,1284,101,2082,240,1527,587,1387,173,1606,2128,1732,820,2127,1822
116,968,40,404,3074,864,94,325,114,1074,4622,177,2578,4506,444,386,198,528,908,619,175,3125,487,1406,420,736,1129,266,1918,4299,140,372,794,87,1751,224,1683,404,531,333,1170,2396,2201,130,1215,1136
117,1552,122,429,7620,2119,293,345,150,2455,9307,194,3949,8183,1661,1037,349,878,1526,1073,1064,5161,428,2438,934,1155,2330,269,1794,10350,159,605,1870,101,2621,98,1124,893,1288,399,2124,3893,2887,851,2550,1556
118,741,3,333,1918,866,86,307,287,1566,4353,144,2350,4256,759,768,184,283,550,811,497,3220,239,1418,571,800,1427,243,729,4715,65,342,1095,136,1008,266,1380,323,70,249,930,1900,2015,527,1159,1334
119,278,110,175,1477,530,65,27,0,924,1946,30,800,2018,443,243,22,156,400,297,335,1921,238,167,375,274,78,31,712,1717,18,136,423,50,428,66,217,198,376,22,304,17,368,146,917,919
120,383,36,136,1913,455,125,257,183,1189,3125,7,1381,2934,577,360,43,376,519,489,205,1494,250,519,481,186,879,72,1127,3808,0,193,697,137,783,69,373,331,295,36,683,1340,992,291,920,1031
121,1377,3,563,6120,1492,326,425,182,1906,7888,364,3684,6888,1494,1173,207,617,1211,898,591,4579,604,2079,748,1372,1741,206,2557,8414,42,808,1461,338,2019,218,1747,787,1074,348,1977,3072,2936,371,2179,1869
122,1627,162,618,6681,1904,351,579,389,2278,8826,360,4798,8578,1871,1554,263,828,1503,1245,1046,5200,659,1864,623,1129,1984,378,3101,8753,82,776,2239,356,2401,399,1350,768,1011,364,2052,3319,3913,886,2010,2288
123,968,0,272,778,799,213,487,355,1717,4819,107,2697,5903,629,983,141,231,834,711,741,3149,5,1574,320,843,1455,252,1674,4360,75,361,1261,39,1394,318,540,592,1023,186,1428,2163,503,417,1334,1079
124,198,78,162,1253,240,77,60,70,756,1807,34,725,1757,384,258,35,96,216,215,128,814,131,352,231,298,349,38,618,1865,7,97,356,40,394,86,390,238,327,61,60,700,712,78,550,597
125,340,28,273,720,171,52,114,71,264,1555,76,1142,2054,726,701,0,60,280,369,545,1640,189,534,634,481,386,29,918,2340,0,245,917,34,320,57,567,402,531,25,526,1237,1303,208,587,880
126,794,88,535,3685,650,169,124,295,1884,5104,128,2074,5149,1421,948,58,360,1251,552,520,2891,421,697,1097,510,1277,142,1663,5918,54,134,819,211,841,444,454,538,686,178,1086,2428,2184,42,1610,1205
127,333,40,125,1686,636,163,74,198,939,2671,102,665,940,481,270,53,150,315,250,357,951,50,227,375,569,444,61,1888,1867,49,252,556,66,57,102,260,183,279,124,586,1799,986,119,755,773
