,1_NRAS,2_DNMT3A,2_SF3B1,2_IDH1,3_GATA2,4_KIT,5_NPM1,6_chr6,7_EZH2,9_JAK2,10_chr10,11_WT1,12_KRAS,12_PTPN11,13_FLT3,14_chr14,15_IDH2,16_chr16,17_TP53,17_SRSF2,18_chr18,20_ASXL1,21_RUNX1,21_U2AF1
76,166,42,185,115,17,96,56,233,86,51,128,113,117,79,319,27,58,110,115,10,23,92,135,79
77,50,19,100,58,8,41,12,102,34,2,51,36,52,43,155,17,18,40,87,0,15,30,27,75
78,87,36,166,79,23,69,15,163,112,28,83,102,121,64,278,22,66,70,185,2,27,123,130,90
79,64,23,159,46,20,66,1,76,68,4,67,77,47,30,184,21,13,23,238,2,21,25,29,51
80,70,13,101,60,12,51,6,87,34,1,78,68,50,46,179,12,44,37,111,0,31,38,37,80
81,77,22,118,62,9,44,4,87,45,7,62,52,70,53,98,12,47,51,104,6,35,35,67,56
82,131,37,146,81,26,75,52,168,80,39,128,118,134,71,237,30,55,68,153,2,37,83,170,86
83,35,28,84,42,9,63,37,92,63,20,76,69,81,45,159,20,36,52,105,2,19,58,59,29
84,71,30,109,48,6,31,78,91,81,22,87,78,90,33,181,19,48,73,114,8,18,47,88,62
85,87,39,104,52,15,41,14,96,85,11,50,87,83,55,204,24,30,68,64,4,29,56,89,89
86,23,24,63,27,3,28,21,73,42,8,43,45,44,29,109,11,21,49,64,8,18,44,32,52
87,42,11,183,70,11,9,2,61,47,9,32,22,29,27,177,12,59,17,156,0,8,59,19,71
88,82,38,72,24,6,27,17,58,65,13,65,69,48,12,149,2,30,44,92,12,28,34,37,46
89,138,43,179,96,58,129,47,209,133,44,166,166,162,78,318,20,51,147,192,14,57,94,180,169
90,44,23,70,41,11,56,39,97,61,16,79,80,73,39,151,19,27,75,74,24,23,33,78,60
91,67,26,172,88,16,78,30,164,93,12,67,75,74,50,211,23,61,48,132,0,14,36,86,129
92,59,6,114,48,9,63,2,88,25,2,27,41,35,43,169,5,11,18,136,4,30,53,49,98
93,66,29,82,48,12,66,39,76,78,3,66,86,39,23,145,14,35,92,70,2,25,40,45,36
94,62,26,92,51,21,59,31,104,63,40,100,94,97,47,162,19,39,68,116,4,26,66,95,62
95,54,13,82,40,10,46,18,65,55,12,70,52,64,28,135,14,37,45,74,0,14,29,35,51
96,48,33,142,70,0,31,24,146,73,23,61,75,73,57,158,27,38,44,130,0,23,33,49,111
97,42,12,128,33,3,37,3,65,31,3,48,37,24,22,137,12,15,13,143,4,17,41,44,76
98,97,24,149,82,6,84,22,142,40,25,78,87,57,39,211,32,44,66,145,16,33,84,88,55
99,57,22,160,50,2,76,20,122,96,16,76,93,105,75,207,25,37,63,56,10,38,66,61,112
100,64,21,151,76,26,17,0,109,45,3,59,85,49,26,304,11,59,37,185,8,34,100,77,125
101,55,23,95,54,7,25,14,74,43,16,40,58,32,34,127,9,31,37,78,0,23,31,54,74
102,102,26,136,60,29,86,42,175,87,58,108,109,123,71,265,37,55,103,178,14,39,103,153,106
103,36,21,48,33,10,50,3,97,45,0,44,56,32,38,87,22,11,29,53,6,13,44,30,46
104,69,18,143,57,10,43,14,111,74,2,52,73,101,56,222,17,37,34,94,6,20,71,59,86
105,58,11,83,41,13,31,10,66,37,4,34,45,50,44,117,5,13,20,65,0,14,36,11,58
106,58,23,85,17,19,29,24,76,41,3,32,49,68,5,119,17,29,51,98,2,32,12,15,64
107,83,24,186,85,0,102,17,179,138,45,98,140,130,105,269,41,84,42,90,2,67,63,177,75
108,26,4,118,34,10,27,10,67,91,15,29,72,41,18,185,2,37,22,159,2,11,64,10,99
109,48,13,90,41,10,16,3,75,71,4,12,29,22,28,102,2,35,20,68,2,17,46,22,78
110,33,15,88,41,3,21,5,76,71,4,33,58,30,33,125,15,28,34,90,0,9,23,13,63
111,57,27,98,57,9,54,20,99,42,26,45,41,77,40,157,34,29,33,99,6,10,35,59,78
112,58,25,91,41,8,41,9,65,55,2,53,43,61,32,137,18,22,34,78,4,19,6,32,47
113,81,41,61,60,1,55,21,95,95,47,48,84,63,57,132,15,39,42,107,2,9,45,119,71
114,87,14,109,57,8,53,28,99,53,17,64,90,90,52,208,16,36,43,102,2,11,28,53,76
115,92,32,102,66,20,102,53,139,87,27,117,101,108,32,272,26,36,71,99,4,29,73,83,62
116,96,28,100,46,13,62,70,100,70,26,83,110,108,64,186,26,37,78,138,10,25,76,94,69
117,45,21,41,26,16,48,33,59,12,18,49,66,25,20,123,12,17,62,29,0,11,44,67,60
118,44,12,94,46,11,19,1,58,63,0,25,54,34,34,226,15,26,29,171,2,11,38,14,45
119,88,42,102,58,14,92,14,174,102,35,127,100,34,79,298,24,50,80,164,2,34,73,79,86
120,54,16,46,37,13,28,4,59,72,14,50,51,36,24,158,10,25,41,55,2,12,40,30,52
121,42,11,66,45,8,55,2,58,38,2,52,80,37,31,107,19,25,63,54,2,9,0,43,44
122,128,55,136,48,17,116,20,209,106,54,189,166,102,80,188,41,46,71,139,14,55,69,221,115
123,52,14,75,36,11,34,0,59,69,14,60,67,38,31,167,15,29,47,76,2,25,28,33,62
124,25,13,35,32,6,33,1,64,23,7,29,54,33,14,88,13,24,41,70,0,12,25,13,29
125,130,32,69,71,27,49,60,116,85,25,89,127,99,64,203,19,48,77,131,0,17,61,22,74
126,64,37,111,87,20,75,15,143,110,31,102,76,74,59,257,23,56,67,94,12,40,60,81,111
127,141,47,129,46,21,124,84,124,105,28,123,113,113,59,208,21,61,148,126,2,44,48,116,106
128,66,41,89,51,13,87,63,107,71,45,103,86,89,54,191,26,40,70,87,16,29,67,61,39
129,144,60,135,73,31,83,61,178,130,19,125,130,134,80,301,41,66,158,132,14,45,82,158,136
130,45,20,48,31,9,39,40,71,33,3,41,44,47,33,91,16,24,49,47,8,18,28,28,27
131,87,26,125,62,5,81,34,136,45,29,105,96,64,63,186,26,36,97,131,2,28,63,44,62
132,54,24,158,59,23,45,2,78,69,7,23,62,37,32,172,5,45,43,150,2,14,69,49,76
133,35,24,86,41,12,47,11,47,55,10,46,51,68,47,175,7,35,47,80,0,20,48,54,59
134,58,24,91,28,9,58,40,96,84,25,61,78,74,43,124,14,15,78,85,12,25,35,9,47
135,104,40,141,74,33,86,18,117,145,40,79,67,52,61,246,10,91,51,132,6,27,83,135,63
136,70,23,114,69,14,27,8,112,36,6,80,43,65,58,193,10,30,20,120,0,12,53,69,100
137,124,61,190,116,13,149,39,162,106,49,149,112,118,106,313,10,67,92,254,6,58,126,148,144
138,86,23,141,66,25,48,19,137,87,29,54,60,55,61,139,26,63,62,162,4,35,66,112,94
139,105,46,146,59,21,81,14,179,53,9,121,87,109,89,239,27,63,95,167,12,49,58,142,146
140,33,19,35,33,8,39,60,53,29,10,37,66,27,42,99,1,16,32,48,0,10,45,36,66
141,69,15,128,36,11,45,32,97,74,23,59,91,85,54,204,31,43,60,107,4,21,23,87,57
142,58,22,53,47,6,38,9,64,25,6,37,23,49,26,144,10,18,22,72,0,10,10,35,45
143,124,10,107,114,25,126,11,197,75,1,80,72,78,63,240,20,52,35,183,2,16,84,58,108
144,47,19,101,40,10,73,3,114,33,5,61,43,51,33,195,9,53,27,134,0,35,42,60,72
145,53,23,76,43,12,69,35,109,69,13,69,75,72,39,85,14,24,61,74,3,20,32,50,52
146,69,37,89,52,11,66,27,74,47,15,66,61,74,56,116,24,39,68,92,0,17,45,62,52
147,69,34,118,52,20,94,25,103,80,39,86,96,97,58,218,31,56,55,99,10,8,55,86,91
148,136,64,175,113,8,134,39,272,154,53,134,147,176,101,375,40,90,126,206,7,49,107,138,124
149,62,13,77,33,6,48,8,63,30,1,37,32,15,27,107,11,19,29,49,0,14,31,35,45
150,57,26,106,33,13,88,32,117,65,9,63,62,73,53,172,16,33,62,95,0,32,38,79,71
151,48,20,54,23,16,30,20,37,56,9,73,31,40,24,109,9,36,42,78,2,16,26,45,36
152,84,51,108,61,21,69,15,111,56,21,61,122,100,54,233,26,52,123,114,37,27,60,76,87
153,54,31,59,28,9,47,23,47,40,14,59,64,59,29,88,18,16,68,66,8,25,37,74,24
154,131,43,174,63,33,115,35,192,120,37,134,93,132,64,329,23,75,185,189,14,35,106,152,81
155,28,11,102,50,8,62,0,75,46,0,35,29,22,42,135,3,26,72,78,0,12,25,22,49
156,122,29,136,63,19,104,32,138,109,13,95,108,73,55,207,35,38,97,109,8,42,34,54,97
157,146,51,184,59,50,165,43,188,151,42,152,168,200,89,300,45,44,198,208,10,34,103,194,139
158,61,25,83,42,7,42,46,110,37,20,69,82,47,52,144,24,14,68,91,18,24,45,49,56
159,94,25,48,56,23,82,43,134,61,37,96,95,115,74,229,17,33,106,149,2,30,82,120,94
160,52,25,101,41,9,64,54,128,76,28,88,101,94,55,162,2,46,94,106,8,27,61,47,62
161,63,41,89,44,23,60,58,96,73,50,85,82,74,46,179,23,40,109,56,26,29,54,80,61
162,94,40,93,74,29,64,14,126,55,15,119,101,115,79,240,12,59,131,157,10,44,37,107,81
163,147,61,192,112,34,90,59,143,147,43,109,140,151,112,334,37,93,173,209,8,46,92,163,136
164,78,27,108,30,22,64,46,90,79,45,77,111,72,52,137,9,32,127,93,9,38,53,38,56
165,65,25,107,56,13,52,7,112,44,11,74,51,44,26,193,16,11,79,103,4,30,58,60,86
166,81,21,79,37,2,56,18,105,73,47,60,43,77,43,214,18,36,103,103,13,19,63,60,84
167,65,19,98,62,17,49,1,121,80,1,82,69,33,31,199,2,17,99,127,6,19,26,55,83
168,97,65,147,73,33,107,55,147,63,58,140,137,83,77,155,5,34,100,154,9,40,48,117,91
169,110,31,161,103,30,76,3,149,89,42,83,88,92,67,268,26,46,74,139,8,28,102,20,143
170,56,14,86,34,11,56,48,78,54,11,70,80,72,27,114,22,23,67,60,18,29,51,60,48
171,62,11,161,68,16,11,6,64,44,3,19,30,19,33,206,9,38,19,138,2,13,53,23,69
172,57,13,114,31,15,43,15,76,47,8,33,37,41,43,195,14,29,40,103,0,8,36,33,40
173,95,36,105,63,24,77,21,135,100,6,105,68,94,63,211,30,33,103,134,14,32,58,129,85
174,11,15,21,29,0,20,0,32,41,12,44,59,3,22,93,11,20,48,48,2,12,25,29,29
175,61,45,162,81,21,0,7,192,50,11,11,124,85,65,268,0,30,40,109,12,16,82,77,84
176,52,23,75,35,2,37,19,76,72,14,28,69,59,29,137,7,31,50,94,2,16,63,67,45
177,84,41,115,56,6,60,20,131,82,44,92,70,106,53,182,27,57,91,110,20,21,56,100,80
178,49,24,100,46,10,57,42,108,31,27,49,86,74,59,184,19,29,34,66,8,30,46,37,54
179,30,13,51,43,7,34,6,89,34,1,50,46,29,35,113,13,27,23,72,0,15,37,36,53
180,76,11,83,44,7,61,14,62,48,4,77,66,65,37,142,25,16,68,66,10,14,18,52,54
181,70,9,92,67,15,50,24,109,39,5,75,88,66,27,156,12,34,64,81,0,10,24,20,64
182,95,11,98,39,16,50,6,108,35,8,71,81,58,52,200,12,31,20,107,6,44,72,88,89
183,96,22,208,103,32,76,16,182,58,20,103,45,79,67,282,29,59,36,211,6,26,49,145,146
184,51,23,141,56,17,62,12,123,49,15,55,46,54,59,214,29,31,39,167,4,26,74,74,89
185,76,20,92,47,12,73,8,116,41,23,81,73,15,36,259,23,41,21,162,16,36,54,48,70
186,108,48,179,88,24,94,37,252,142,7,112,134,86,44,352,40,92,114,201,8,73,106,155,133
187,49,6,29,30,8,48,4,44,20,4,45,64,16,27,103,21,13,53,64,2,19,44,16,60
188,52,32,94,50,12,44,28,85,43,39,67,80,77,55,160,22,37,52,85,10,18,55,29,69
189,88,30,178,122,16,47,5,187,106,27,73,64,91,73,298,20,52,35,195,12,33,123,80,139
190,103,29,153,89,19,96,21,148,95,23,122,114,127,76,269,43,54,102,129,12,50,83,104,138
191,42,18,111,34,6,21,2,85,40,1,43,37,45,33,156,14,39,13,118,0,20,51,65,83
192,111,16,231,75,23,82,9,212,70,39,54,76,79,61,271,19,80,61,197,10,24,81,101,149
193,73,40,161,70,26,45,49,126,124,58,93,121,62,63,279,21,44,83,122,5,16,73,130,93
194,46,26,98,38,10,49,43,81,59,37,70,75,74,39,106,13,27,70,60,12,22,44,28,45
195,84,19,121,50,27,86,8,99,65,20,75,83,115,52,223,23,54,98,110,12,44,61,66,90
196,69,8,138,44,13,10,3,67,36,0,62,72,44,27,155,8,14,26,124,4,9,33,39,90
197,64,36,129,45,12,98,71,140,101,37,114,98,94,62,227,20,50,111,114,6,35,31,76,59
198,66,14,110,32,14,74,45,141,71,34,71,80,54,57,124,21,5,87,101,8,22,49,13,24
199,84,25,127,53,16,104,10,167,69,55,61,93,97,66,297,17,44,91,174,2,45,46,94,107
200,208,33,333,176,38,240,9,234,163,54,213,148,117,126,421,53,73,165,243,0,42,85,245,282
201,43,23,47,26,8,40,37,50,46,12,45,54,61,22,128,7,15,38,54,6,16,24,29,21
202,69,14,161,19,9,27,16,65,62,7,17,47,34,26,139,6,51,69,111,0,10,12,10,9
203,38,17,37,31,13,37,35,74,52,9,64,61,55,22,99,20,17,60,58,6,26,37,34,35
204,50,39,95,40,16,84,78,104,86,33,102,93,81,33,173,17,35,99,118,4,23,64,81,36
205,44,12,98,59,7,50,1,79,71,0,41,56,50,10,204,19,23,55,87,0,16,55,51,61
206,96,36,101,35,19,50,60,64,88,19,52,110,78,43,146,18,34,84,78,4,34,40,44,89
207,72,25,66,27,7,39,27,90,36,14,25,37,38,31,109,15,29,94,72,0,23,30,45,46
208,35,24,102,50,27,43,41,143,87,8,70,93,36,48,173,10,39,126,123,14,25,65,92,88
209,81,18,139,67,9,66,0,60,78,6,45,82,21,52,151,15,28,21,140,0,11,18,70,106
210,106,19,174,110,14,49,5,150,78,3,78,116,45,58,219,7,44,39,145,0,21,66,104,141
211,68,39,131,66,13,92,42,136,124,10,109,180,173,70,268,41,55,156,165,4,19,69,126,93
212,108,24,221,47,38,24,0,46,87,1,34,97,15,33,187,3,27,16,259,2,0,99,30,132
213,70,50,130,72,5,94,39,169,86,20,106,122,102,58,246,4,64,138,143,8,35,89,156,100
214,61,20,68,19,16,37,36,66,45,11,46,58,48,24,117,16,16,58,66,0,14,23,24,48
215,44,5,109,39,26,58,2,77,45,3,23,43,43,24,215,15,30,83,99,2,2,38,21,77
216,77,17,87,60,19,40,16,88,79,3,47,70,52,46,150,11,44,62,98,4,14,50,41,33
217,71,19,65,31,8,52,44,73,67,32,43,101,71,56,137,16,26,84,72,14,15,36,81,40
218,59,45,127,35,22,101,48,113,66,32,83,89,113,44,226,34,38,105,137,8,43,49,104,68
219,54,25,91,30,15,68,71,97,75,33,92,88,80,40,157,31,9,86,78,24,25,42,39,76
220,59,23,32,38,16,48,5,40,63,3,13,50,25,10,147,11,25,47,2,0,21,24,40,45
221,69,30,106,34,17,64,36,105,85,34,64,97,63,41,149,20,35,66,96,36,18,55,95,54
222,70,16,111,40,20,70,17,126,87,24,99,88,60,58,201,20,64,131,144,16,23,44,60,83
223,58,15,70,29,27,39,3,85,53,6,26,44,23,34,143,12,18,81,111,0,19,37,34,17
224,103,20,155,95,44,28,5,136,110,32,76,65,70,49,296,28,78,228,130,4,18,95,81,130
225,80,31,118,54,18,30,7,114,81,35,51,57,42,42,207,11,39,129,115,0,25,45,58,46
226,48,25,101,42,15,39,17,117,70,24,65,59,66,36,144,3,31,59,74,14,11,38,24,47
227,47,11,120,48,15,26,14,69,70,9,59,51,62,50,149,17,44,99,97,0,16,52,55,76
228,85,48,102,45,16,65,31,114,86,35,74,88,66,43,159,15,33,84,86,24,24,55,51,72
229,99,25,88,51,22,62,7,90,55,0,63,127,104,71,319,7,78,129,100,10,13,61,71,44
230,69,16,69,28,6,33,26,89,36,5,59,63,56,24,94,16,27,80,65,0,26,48,25,45
231,59,39,110,39,11,92,51,117,76,27,106,107,94,35,174,23,41,103,90,20,40,61,81,38
232,72,24,156,62,11,48,3,75,64,19,32,54,18,27,234,14,50,61,157,0,13,51,46,76
233,68,11,208,49,26,22,0,78,79,8,51,55,22,18,309,13,29,32,223,2,5,78,25,62
234,37,24,79,19,15,36,13,94,55,13,58,85,59,30,163,15,31,82,65,12,27,22,71,64
235,54,15,77,31,25,44,10,80,33,15,57,38,50,35,120,15,25,60,61,8,24,33,28,50
236,122,69,176,68,39,100,82,184,145,52,139,145,144,89,303,34,63,99,168,16,53,105,169,102
237,100,27,141,60,22,65,1,121,79,7,79,59,86,50,225,17,36,101,118,16,24,68,51,81
238,102,31,106,60,19,93,42,115,61,25,96,137,96,67,213,37,36,112,119,0,31,78,110,64
239,56,11,152,51,15,12,8,49,41,20,45,37,32,14,127,9,51,14,221,3,6,61,52,113
240,73,34,113,56,17,8,14,84,40,0,70,61,66,37,86,23,39,56,40,6,22,39,39,49
241,150,45,190,98,25,124,76,172,132,32,175,181,200,84,371,49,69,170,199,35,66,100,187,106
242,59,28,115,44,18,47,14,82,55,6,82,83,86,50,204,32,45,46,105,10,23,36,40,85
243,56,29,103,40,7,73,28,112,93,49,70,109,84,40,173,19,46,90,107,0,32,41,71,65
244,55,12,58,71,4,15,4,125,65,3,71,59,56,19,212,29,32,31,90,0,13,61,59,84
245,43,9,124,38,10,20,1,82,46,0,34,42,14,34,135,13,13,74,86,6,21,59,71,57
246,19,7,93,35,7,16,12,66,49,6,24,31,18,18,86,0,31,11,70,2,3,40,40,30
247,13,19,47,20,14,39,9,55,34,15,51,40,45,30,93,13,20,57,64,6,19,34,44,31
248,85,23,88,55,15,57,28,115,73,18,87,84,43,36,202,18,22,70,109,2,31,49,60,70
249,106,40,128,58,22,96,17,114,88,9,111,99,106,49,278,28,46,77,165,12,40,46,60,113
250,74,41,124,70,21,73,12,155,94,11,82,104,87,63,239,33,54,80,208,8,26,72,91,88
251,104,15,125,64,13,33,15,86,65,21,73,103,62,49,171,12,44,60,120,0,35,62,74,96
252,80,13,76,30,5,54,12,83,55,2,54,73,35,32,94,4,22,65,75,4,18,43,44,52
253,144,69,197,108,42,131,3,206,145,56,148,144,145,100,373,14,106,49,258,14,40,114,216,125
254,88,23,150,80,10,66,11,145,61,24,96,70,87,59,261,2,28,54,186,10,33,63,105,103
255,78,39,99,41,8,54,28,74,67,8,66,71,74,46,130,21,41,66,77,4,20,56,39,76
256,57,49,125,41,16,95,56,110,108,38,114,119,110,68,121,0,29,101,87,14,33,87,74,75
257,115,27,155,50,17,94,39,191,78,34,128,74,69,72,274,27,49,84,175,14,48,80,117,81
258,92,28,91,40,10,65,70,107,80,8,79,98,79,28,130,11,14,83,52,19,31,40,74,72
259,105,32,178,97,41,105,33,150,123,33,120,102,119,63,299,18,62,88,210,4,37,103,113,129
260,37,27,53,24,8,32,32,65,44,5,41,22,37,21,79,17,21,45,44,2,16,27,24,33
261,39,13,71,56,5,7,17,93,25,3,66,64,61,25,93,6,22,59,48,10,5,24,49,39
262,57,29,66,43,9,33,59,85,73,32,71,98,73,35,135,14,17,77,71,16,23,64,78,48
263,135,30,204,110,24,112,9,163,115,28,125,77,94,103,359,15,57,38,209,6,45,99,157,164
264,61,23,100,36,12,55,9,101,56,24,76,71,73,26,134,15,36,60,85,6,11,38,60,63
265,44,19,56,35,11,60,39,67,51,21,47,80,69,43,147,1,37,73,69,2,25,52,72,34
266,50,11,144,77,15,19,2,93,88,22,42,46,37,24,180,10,38,16,166,2,10,51,40,77
267,41,20,98,32,12,60,5,110,64,5,46,50,30,52,184,0,14,44,156,2,33,44,43,37
268,85,22,115,60,17,70,10,108,111,28,52,54,86,50,159,19,57,26,108,10,26,76,110,80
269,49,26,57,34,13,54,39,101,42,13,56,72,82,37,128,25,24,50,53,6,20,31,28,49
270,84,29,81,57,17,69,44,98,70,28,81,117,92,56,184,22,44,91,114,4,39,65,70,57
271,71,16,85,23,6,51,65,86,66,30,39,70,44,18,148,16,51,62,93,0,13,48,11,53
272,97,44,117,92,26,122,113,212,124,36,181,162,144,85,317,39,68,140,186,10,56,77,163,101
